,USGS-01509000,USGS-01531000,USGS-04234000
1950-04-16,27.354073807872005,80.41984432128001,7.787132812800001
1950-04-17,27.523974887424004,72.49112727552001,7.419013807104001
1950-04-18,28.883183523840003,69.37627415040001,7.419013807104001
1950-04-19,35.96239517184001,68.80993721856001,7.050894801408001
1950-04-20,65.1287471616,73.34063267328001,14.951295000576001
1950-04-21,65.1287471616,93.44559375360001,14.300007528960002
1950-04-22,41.90893295616001,80.70301278720001,9.542777301504001
1950-04-23,32.84754204672001,68.52676875264001,7.928717045760001
1950-04-24,28.260212898816004,65.41191562752002,7.050894801408001
1950-04-25,24.239220682752002,79.28717045760001,6.229706250240001
1950-04-26,22.087140341760005,93.44559375360001,5.918220937728001
1950-04-27,20.048327387136002,85.23370824192001,5.380200852480001
1950-04-28,17.952880739328002,69.37627415040001,4.785547074048001
1950-04-29,16.112285710848003,63.42973636608001,4.332477528576001
1950-04-30,14.668126534656002,75.60598040064001,4.162576449024001
1950-05-01,23.446348978176005,143.00007528960003,10.052480540160001
1950-05-02,22.710110966784004,178.96247046144003,8.664955057152001
1950-05-03,17.499811193856004,121.47927187968001,5.465151392256001
1950-05-04,15.687533011968002,96.56044687872001,4.587329147904001
1950-05-05,16.338820483584,183.77633438208002,7.362380113920001
1950-05-06,14.894661307392003,189.15653523456004,5.380200852480001
1950-05-07,13.139016818688003,119.49709261824002,4.332477528576001
1950-05-08,11.978026108416001,87.7822244352,3.6245563637760005
1950-05-09,11.241788097024001,71.92479034368002,3.3413878978560003
1950-05-10,14.045155909632003,74.19013807104001,4.077625909248001
1950-05-11,13.761987443712002,96.56044687872001,4.672279687680001
1950-05-12,11.666540795904002,72.49112727552001,3.5396058240000006
1950-05-13,10.703768011776,61.73072557056001,3.2847542046720006
1950-05-14,10.477233239040002,54.65151392256001,3.6811900569600007
1950-05-15,9.542777301504001,49.83765000192001,3.1431699717120005
1950-05-16,9.287925682176,45.02378608128001,3.0015857387520004
1950-05-17,8.721588750336002,43.041606819840005,2.718417272832
1950-05-18,8.863172983296002,60.31488324096001,3.1998036648960007
1950-05-19,9.627727841280002,201.61594773504004,4.077625909248001
1950-05-20,9.372876221952001,155.17631932416003,3.6245563637760005
1950-05-21,8.438420284416,112.98421790208002,3.0015857387520004
1950-05-22,7.475647500288001,84.10103437824002,2.4352488069120004
1950-05-23,6.909310568448001,67.11092642304001,2.152080340992
1950-05-24,6.569508409344001,60.03171477504001,2.0954466478080005
1950-05-25,6.371290483200001,56.06735625216001,2.0104961080320005
1950-05-26,6.003171477504001,47.85547074048001,1.8689118750720002
1950-05-27,5.833270397952001,41.62576449024001,1.6706939489280002
1950-05-28,6.031488324096001,72.77429574144001,2.0954466478080005
1950-05-29,6.286339943424001,79.57033892352001,2.718417272832
1950-05-30,5.8899040911360006,58.61587244544001,2.2087140341760003
1950-05-31,5.578418778624001,48.704976138240006,1.9255455682560003
1950-06-01,7.050894801408001,79.85350738944001,3.5962395171840007
1950-06-02,7.957033892352001,97.97628920832001,3.9077248296960008
1950-06-03,9.967530000384002,64.84557869568,3.822774289920001
1950-06-04,43.041606819840005,222.57041421312005,32.84754204672001
1950-06-05,22.625160427008005,167.63573182464003,9.061390909440002
1950-06-06,15.149512926720002,97.69312074240001,5.040398693376001
1950-06-07,11.694857642496002,70.22577954816,3.6245563637760005
1950-06-08,9.825945767424,54.36834545664001,3.0015857387520004
1950-06-09,8.438420284416,43.8911122176,2.4918825000960005
1950-06-10,7.532281193472001,39.643585228800006,2.321981420544
1950-06-11,6.796043182080001,37.94457443328,2.2087140341760003
1950-06-12,6.229706250240001,33.13071051264001,1.9255455682560003
1950-06-13,5.720003011584001,28.600015057920004,1.7556444887040004
1950-06-14,5.635052471808001,30.015857387520004,1.9255455682560003
1950-06-15,5.606735625216001,43.324775285760005,2.1803971875840005
1950-06-16,5.295250312704001,37.378237501440005,1.8405950284800003
1950-06-17,6.597825255936001,30.015857387520004,3.4829721308160004
1950-06-18,6.371290483200001,25.853280938496003,2.6051498864640004
1950-06-19,5.323567159296001,23.814467983872003,1.9255455682560003
1950-06-20,4.955448153600001,21.888922415616005,1.8122781818880003
1950-06-21,5.181982926336,21.181001250816003,2.3502982671360004
1950-06-22,4.898814460416001,19.566940995072002,2.0388129546240004
1950-06-23,4.474061761536,18.037831279104,1.5857434091520002
1950-06-24,12.402778807296002,16.735256335872002,46.722796876800004
1950-06-25,12.346145114112002,15.291097159680003,24.522389148672005
1950-06-26,8.240202358272,14.894661307392003,7.362380113920001
1950-06-27,6.399607329792001,13.733670597120001,4.785547074048001
1950-06-28,5.436834545664,12.770897812992002,3.7661405967360007
1950-06-29,5.153666079744001,12.232877727744002,3.1431699717120005
1950-06-30,6.116438863872001,12.770897812992002,4.643962841088
1950-07-01,5.351884005888,11.836441875456002,3.1998036648960007
1950-07-02,4.672279687680001,11.666540795904002,2.4918825000960005
1950-07-03,4.445744914944001,10.958619631104002,2.4352488069120004
1950-07-04,5.266933466112,11.666540795904002,3.7944574433280005
1950-07-05,5.550101932032001,12.770897812992002,4.7572302274560005
1950-07-06,5.040398693376001,14.300007528960002,3.1431699717120005
1950-07-07,4.643962841088,14.498225455104002,2.4918825000960005
1950-07-08,4.134259602432,14.498225455104002,2.0388129546240004
1950-07-09,3.7944574433280005,12.402778807296002,1.8405950284800003
1950-07-10,3.6811900569600007,11.298421790208002,1.6990107955200002
1950-07-11,3.7378237501440004,10.958619631104002,1.8689118750720002
1950-07-12,4.219210142208,11.128520710656002,1.7839613352960002
1950-07-13,3.7944574433280005,12.969115739136003,1.6423771023360003
1950-07-14,3.6811900569600007,12.572679886848002,2.1803971875840005
1950-07-15,3.4829721308160004,12.402778807296002,1.7556444887040004
1950-07-16,3.2281205114880005,14.300007528960002,1.5291097159680003
1950-07-17,3.0582194319360005,12.572679886848002,1.4158423296000002
1950-07-18,2.9732688921600006,11.496639716352002,1.359208636416
1950-07-19,2.9449520455680003,10.250698466304001,1.3308917898240002
1950-07-20,6.1447557104640005,11.496639716352002,5.068715539968001
1950-07-21,6.512874716160001,32.5643735808,5.210299772928001
1950-07-22,4.7572302274560005,35.96239517184001,2.237030880768
1950-07-23,3.8794079831040005,22.115457188352003,1.6423771023360003
1950-07-24,3.5679226705920004,16.961791108608004,1.4724760227840001
1950-07-25,3.2564373580800003,14.498225455104002,1.5291097159680003
1950-07-26,3.0299025853440003,14.894661307392003,1.4158423296000002
1950-07-27,2.7750509660160003,15.092879233536003,1.2459412500480003
